iter	Passed	Remaining
0	15	4517
1	28	4217
2	46	4652
3	66	4952
4	87	5179
5	112	5498
6	135	5661
7	156	5710
8	177	5742
9	197	5722
10	217	5709
11	236	5685
12	256	5669
13	277	5672
14	297	5657
15	318	5654
16	339	5655
17	360	5641
18	381	5644
19	401	5626
20	421	5606
21	442	5595
22	463	5587
23	485	5577
24	505	5564
25	526	5551
26	546	5527
27	568	5527
28	588	5499
29	608	5474
30	628	5454
31	648	5434
32	669	5419
33	690	5400
34	710	5376
35	730	5357
36	750	5336
37	772	5327
38	793	5307
39	813	5289
40	838	5296
41	862	5297
42	880	5261
43	898	5230
44	916	5194
45	936	5168
46	957	5151
47	975	5122
48	993	5088
49	1010	5054
50	1028	5023
51	1046	4990
52	1065	4964
53	1083	4937
54	1096	4883
55	1113	4852
56	1133	4833
57	1153	4812
58	1172	4789
59	1189	4757
60	1206	4725
61	1222	4693
62	1239	4662
63	1256	4632
64	1272	4601
65	1289	4571
66	1307	4545
